kx,ky,band1,band2
-2,-2,6.1138,-6.1138
-2,-1.9596,5.9496,-5.9496
-2,-1.9192,5.7771,-5.7771
-2,-1.8788,5.5971,-5.5971
-2,-1.8384,5.4102,-5.4102
-2,-1.798,5.2175,-5.2175
-2,-1.7576,5.0197,-5.0197
-2,-1.7172,4.818,-4.818
-2,-1.6768,4.6134,-4.6134
-2,-1.6364,4.4073,-4.4073
-2,-1.596,4.201,-4.201
-2,-1.5556,3.9962,-3.9962
-2,-1.5152,3.7946,-3.7946
-2,-1.4747,3.5983,-3.5983
-2,-1.4343,3.4096,-3.4096
-2,-1.3939,3.231,-3.231
-2,-1.3535,3.0655,-3.0655
-2,-1.3131,2.9162,-2.9162
-2,-1.2727,2.7863,-2.7863
-2,-1.2323,2.6791,-2.6791
-2,-1.1919,2.5976,-2.5976
-2,-1.1515,2.5441,-2.5441
-2,-1.1111,2.5198,-2.5198
-2,-1.0707,2.525,-2.525
-2,-1.0303,2.5584,-2.5584
-2,-0.9899,2.6177,-2.6177
-2,-0.94949,2.6998,-2.6998
-2,-0.90909,2.801,-2.801
-2,-0.86869,2.9176,-2.9176
-2,-0.82828,3.0461,-3.0461
-2,-0.78788,3.1831,-3.1831
-2,-0.74747,3.3257,-3.3257
-2,-0.70707,3.4713,-3.4713
-2,-0.66667,3.6176,-3.6176
-2,-0.62626,3.7628,-3.7628
-2,-0.58586,3.905,-3.905
-2,-0.54545,4.0429,-4.0429
-2,-0.50505,4.1752,-4.1752
-2,-0.46465,4.3009,-4.3009
-2,-0.42424,4.4189,-4.4189
-2,-0.38384,4.5285,-4.5285
-2,-0.34343,4.629,-4.629
-2,-0.30303,4.7197,-4.7197
-2,-0.26263,4.8002,-4.8002
-2,-0.22222,4.87,-4.87
-2,-0.18182,4.9286,-4.9286
-2,-0.14141,4.9759,-4.9759
-2,-0.10101,5.0116,-5.0116
-2,-0.060606,5.0355,-5.0355
-2,-0.020202,5.0475,-5.0475
-2,0.020202,5.0475,-5.0475
-2,0.060606,5.0355,-5.0355
-2,0.10101,5.0116,-5.0116
-2,0.14141,4.9759,-4.9759
-2,0.18182,4.9286,-4.9286
-2,0.22222,4.87,-4.87
-2,0.26263,4.8002,-4.8002
-2,0.30303,4.7197,-4.7197
-2,0.34343,4.629,-4.629
-2,0.38384,4.5285,-4.5285
-2,0.42424,4.4189,-4.4189
-2,0.46465,4.3009,-4.3009
-2,0.50505,4.1752,-4.1752
-2,0.54545,4.0429,-4.0429
-2,0.58586,3.905,-3.905
-2,0.62626,3.7628,-3.7628
-2,0.66667,3.6176,-3.6176
-2,0.70707,3.4713,-3.4713
-2,0.74747,3.3257,-3.3257
-2,0.78788,3.1831,-3.1831
-2,0.82828,3.0461,-3.0461
-2,0.86869,2.9176,-2.9176
-2,0.90909,2.801,-2.801
-2,0.94949,2.6998,-2.6998
-2,0.9899,2.6177,-2.6177
-2,1.0303,2.5584,-2.5584
-2,1.0707,2.525,-2.525
-2,1.1111,2.5198,-2.5198
-2,1.1515,2.5441,-2.5441
-2,1.1919,2.5976,-2.5976
-2,1.2323,2.6791,-2.6791
-2,1.2727,2.7863,-2.7863
-2,1.3131,2.9162,-2.9162
-2,1.3535,3.0655,-3.0655
-2,1.3939,3.231,-3.231
-2,1.4343,3.4096,-3.4096
-2,1.4747,3.5983,-3.5983
-2,1.5152,3.7946,-3.7946
-2,1.5556,3.9962,-3.9962
-2,1.596,4.201,-4.201
-2,1.6364,4.4073,-4.4073
-2,1.6768,4.6134,-4.6134
-2,1.7172,4.818,-4.818
-2,1.7576,5.0197,-5.0197
-2,1.798,5.2175,-5.2175
-2,1.8384,5.4102,-5.4102
-2,1.8788,5.5971,-5.5971
-2,1.9192,5.7771,-5.7771
-2,1.9596,5.9496,-5.9496
-2,2,6.1138,-6.1138
-1.9596,-2,6.2626,-6.2626
-1.9596,-1.9596,6.0962,-6.0962
-1.9596,-1.9192,5.9211,-5.9211
-1.9596,-1.8788,5.7382,-5.7382
-1.9596,-1.8384,5.5481,-5.5481
-1.9596,-1.798,5.3517,-5.3517
-1.9596,-1.7576,5.1497,-5.1497
-1.9596,-1.7172,4.9432,-4.9432
-1.9596,-1.6768,4.7332,-4.7332
-1.9596,-1.6364,4.5209,-4.5209
-1.9596,-1.596,4.3076,-4.3076
-1.9596,-1.5556,4.0946,-4.0946
-1.9596,-1.5152,3.8837,-3.8837
-1.9596,-1.4747,3.6768,-3.6768
-1.9596,-1.4343,3.4758,-3.4758
-1.9596,-1.3939,3.2831,-3.2831
-1.9596,-1.3535,3.1016,-3.1016
-1.9596,-1.3131,2.9341,-2.9341
-1.9596,-1.2727,2.7839,-2.7839
-1.9596,-1.2323,2.6545,-2.6545
-1.9596,-1.1919,2.5493,-2.5493
-1.9596,-1.1515,2.4711,-2.4711
-1.9596,-1.1111,2.4224,-2.4224
-1.9596,-1.0707,2.404,-2.404
-1.9596,-1.0303,2.4157,-2.4157
-1.9596,-0.9899,2.4558,-2.4558
-1.9596,-0.94949,2.5214,-2.5214
-1.9596,-0.90909,2.609,-2.609
-1.9596,-0.86869,2.7146,-2.7146
-1.9596,-0.82828,2.8343,-2.8343
-1.9596,-0.78788,2.9645,-2.9645
-1.9596,-0.74747,3.1018,-3.1018
-1.9596,-0.70707,3.2432,-3.2432
-1.9596,-0.66667,3.3864,-3.3864
-1.9596,-0.62626,3.5291,-3.5291
-1.9596,-0.58586,3.6695,-3.6695
-1.9596,-0.54545,3.806,-3.806
